time	V(vout)
1.305228125074785e-03	4.943233e-01
1.310110937574785e-03	4.936677e-01
1.319876562574784e-03	4.920433e-01
1.334525000074784e-03	4.888588e-01
1.344290625074784e-03	4.862284e-01
1.354056250074784e-03	4.831648e-01
1.363821875074784e-03	4.796315e-01
1.373587500074783e-03	4.755822e-01
1.383353125074783e-03	4.709594e-01
1.393118750074783e-03	4.656939e-01
1.402884375074783e-03	4.597034e-01
1.412650000074783e-03	4.528908e-01
1.422415625074782e-03	4.451435e-01
1.427298437574782e-03	4.408797e-01
1.437064062574782e-03	4.314844e-01
1.441946875074782e-03	4.263154e-01
1.446829687574782e-03	4.208061e-01
1.451712500074782e-03	4.149362e-01
1.456595312574782e-03	4.086857e-01
1.461478125074781e-03	4.020343e-01
1.466360937574781e-03	3.949625e-01
1.471243750074781e-03	3.874516e-01
1.476126562574781e-03	3.794839e-01
1.481009375074781e-03	3.710437e-01
1.485892187574781e-03	3.621168e-01
1.490775000074781e-03	3.526919e-01
1.495657812574781e-03	3.427597e-01
1.500540625074781e-03	3.323142e-01
1.505423437574781e-03	3.213519e-01
1.510306250074780e-03	3.098726e-01
1.515189062574780e-03	2.978788e-01
1.520071875074780e-03	2.853758e-01
1.524954687574780e-03	2.723716e-01
1.529837500074780e-03	2.588767e-01
1.534720312574780e-03	2.449034e-01
1.539603125074780e-03	2.304663e-01
1.544485937574780e-03	2.155813e-01
1.549368750074780e-03	2.002657e-01
1.554251562574779e-03	1.845382e-01
1.559134375074779e-03	1.684182e-01
1.564017187574779e-03	1.519259e-01
1.568900000074779e-03	1.350822e-01
1.573782812574779e-03	1.179082e-01
1.578665625074779e-03	1.004259e-01
1.583548437574779e-03	8.265701e-02
1.593314062574779e-03	4.634897e-02
1.598196875074779e-03	2.785471e-02
1.603079687574778e-03	9.163786e-03
1.607962500074778e-03	-9.701114e-03
1.617728125074778e-03	-4.786178e-02
1.622610937574778e-03	-6.711194e-02
1.627493750074778e-03	-8.644487e-02
1.632376562574778e-03	-1.058377e-01
1.637259375074778e-03	-1.252675e-01
1.642142187574778e-03	-1.447111e-01
1.647025000074778e-03	-1.641454e-01
1.651907812574777e-03	-1.835465e-01
1.656790625074777e-03	-2.028902e-01
1.661673437574777e-03	-2.221512e-01
1.666556250074777e-03	-2.413027e-01
1.671439062574777e-03	-2.603154e-01
1.676321875074777e-03	-2.791567e-01
